Adamın mesleği nedir?	O bir sürücüdür.	What is the woman's occupation?	She is a driver.	He is a driver.
Adamın mesleği nedir?	O bir gözetmen olduğunu.	What is the woman's occupation?	She is a supervisor.	He is a supervisor.
Adamın mesleği nedir?	O bir hademe olduğunu.	What is the woman's occupation?	She is a janitor.	He is a janitor.
Adamın mesleği nedir?	O bir aşçı.	What is the woman's occupation?	She is a cook.	He is a cook.
Adamın mesleği nedir?	O bir taşıyıcı olduğunu.	What is the woman's occupation?	She is a mover.	He is a mover.
Adamın mesleği nedir?	O bir işçi olduğunu.	What is the woman's occupation?	She is a laborer.	He is a laborer.
Adamın mesleği nedir?	O bir inşaat işçisi olduğunu.	What is the woman's occupation?	She is a construction worker.	He is a construction worker.
Adamın mesleği nedir?	O bir şefi.	What is the woman's occupation?	She is a chief.	He is a chief.
Adamın mesleği nedir?	O bir geliştiricisi.	What is the woman's occupation?	She is a developer.	He is a developer.
Adamın mesleği nedir?	O bir marangoz.	What is the woman's occupation?	She is a carpenter.	He is a carpenter.
Adamın mesleği nedir?	O bir yöneticisidir.	What is the woman's occupation?	She is a manager.	He is a manager.
Adamın mesleği nedir?	O bir avukat.	What is the woman's occupation?	She is a lawyer.	He is a lawyer.
Adamın mesleği nedir?	O bir çiftçi.	What is the woman's occupation?	She is a farmer.	He is a farmer.
Adamın mesleği nedir?	O bir satış elemanı.	What is the woman's occupation?	She is a salesperson.	He is a salesperson.
Adamın mesleği nedir?	O bir doktordur.	What is the woman's occupation?	She is a physician.	He is a physician.
Adamın mesleği nedir?	O bir bekçi olduğunu.	What is the woman's occupation?	She is a guard.	He is a guard.
Adamın mesleği nedir?	O bir analist olduğunu.	What is the woman's occupation?	She is a analyst.	He is a analyst.
Adamın mesleği nedir?	O bir teknisyen.	What is the woman's occupation?	She is a mechanic.	He is a mechanic.
Adamın mesleği nedir?	O bir şerif olduğunu.	What is the woman's occupation?	She is a sheriff.	He is a sheriff.
Adamın mesleği nedir?	O bir CEO'su.	What is the woman's occupation?	She is a CEO.	He is a CEO.
Adamın mesleği nedir?	O bir devamıdır.	What is the man's occupation?	He is a attendant.	She is a attendant.
Adamın mesleği nedir?	O bir kasiyer olduğunu.	What is the man's occupation?	He is a cashier.	She is a cashier.
Adamın mesleği nedir?	O bir öğretmen.	What is the man's occupation?	He is a teacher.	She is a teacher.
Adamın mesleği nedir?	O bir hemşire.	What is the man's occupation?	He is a nurse.	She is a nurse.
Adamın mesleği nedir?	O bir yardımcısıdır.	What is the man's occupation?	He is a assistant.	She is a assistant.
Adamın mesleği nedir?	O bir sekreter olduğunu.	What is the man's occupation?	He is a secretary.	She is a secretary.
Adamın mesleği nedir?	O bir denetçi olduğunu.	What is the man's occupation?	He is a auditor.	She is a auditor.
Adamın mesleği nedir?	O bir temizleyicidir.	What is the man's occupation?	He is a cleaner.	She is a cleaner.
Adamın mesleği nedir?	O bir resepsiyonist.	What is the man's occupation?	He is a receptionist.	She is a receptionist.
Adamın mesleği nedir?	O bir memuru olduğunu.	What is the man's occupation?	He is a clerk.	She is a clerk.
Adamın mesleği nedir?	O bir danışman olduğunu.	What is the man's occupation?	He is a counselor.	She is a counselor.
Adamın mesleği nedir?	O bir tasarımcı.	What is the man's occupation?	He is a designer.	She is a designer.
Adamın mesleği nedir?	O bir kuaför.	What is the man's occupation?	He is a hairdresser.	She is a hairdresser.
Adamın mesleği nedir?	O bir yazar.	What is the man's occupation?	He is a writer.	She is a writer.
Adamın mesleği nedir?	O bir kahya.	What is the man's occupation?	He is a housekeeper.	She is a housekeeper.
Adamın mesleği nedir?	O bir fırıncı olduğunu.	What is the man's occupation?	He is a baker.	She is a baker.
Adamın mesleği nedir?	O bir muhasebeci.	What is the man's occupation?	He is a accountant.	She is a accountant.
Adamın mesleği nedir?	O bir editör.	What is the man's occupation?	He is a editor.	She is a editor.
Adamın mesleği nedir?	O bir kütüphaneci.	What is the man's occupation?	He is a librarian.	She is a librarian.
Adamın mesleği nedir?	O bir terzi.	What is the man's occupation?	He is a tailor.	She is a tailor.