i̇lk bıçak .	çok sağlam bir parça değil mi ?	the first blade .	nasty piece of work , isn 't she ?
nerede ?	çek önümden .	where is it ?	remove her .
evet .	bu akşam beni yemeğine davet etti .	yeah .	she invited me to her dinner tonight .
boşver .	çekici olmasa bile onlarla yatmaya gidelim .	scrap that .	even if she 's not attractive , let 's go back to the ranch .
abby ' nin evden taşınmasındansa karl ' ın eve taşınması daha iyi .	abby taşınmasın da ne olursa olsun .	look , i 'd rather he moved in than her move out .	anything than her move out .
biraz kişisel alan -	kendi hatalarını yapabileceği bir miktar alan .	some personal space ?	room to make her own mistakes ?
bir şekilde boğulmuş olmalı .	dengesini kaybedip düşmüş olabilir .	she must 've drowned somehow .	lost her footing and slipped on the bank .
tıp okuluna gittim .	ölü olmadığını ne zaman anladınız ?	i mean , i did go to medical school .	and when did you find out that she was not dead ?
çünkü o bağnazın tekidir .	tüm bunlar , yaptığı her şey , bana inat olsun diye .	'cause she 's a zealot .	all of this , everything she 's doing , it 's to spite me .
nopd , calloway ' in öldüğü sokağı soruşturdu .	yaşlı bir kadın kenarında reklam olan bir hizmet kamyonu gördüğünü söylemiş .	nopd canvassed the street calloway was killed on .	an old woman said she saw a white utility truck with some ad on the side .
çok basit kaçıyor .	karısı hakkında konuşma şekli de bariz onu seviyor .	it 's simple .	and the way he talks about his wife ... he loves her .
evet , kesin seviyordur .	i̇syancı ailesiyle yatağa girmesi için yeterli .	yeah , i bet he does .	enough to get in bed with her insurgent family .
beni o aldı .	bana baktı .	she took me in .	she took care of me .
eğer skyler ' a ed ' in zengin olduğunu söylersem , onunla sevişir .	"ve daha sonra fakir yaşlı bir adamla seviştiğini öğrenince , işte o zaman buna "" skyler gibi yapmak "" diyeceğiz ."	if i tell skylar that ed 's rich , she 'll have sex with him .	"and then when she finds out that she slept with an old guy that 's poor , we 'll call that "" pulling a skylar "" ."
ne yapmayı planlıyorsun ?	"kendine çiçek ve elinde "" çık dışarı ! "" yazılı bir kart olan oyuncak ayı aldıracağım ."	how are you gonna do it ?	"i 'm gonna have her buy herself some flowers and a cute little teddy bear holding a card that says , "" get out ! """
oh , ikinizin iyi anlaştığını tahmin etmiştim .	sürekli seni anlatıyordu	oh , i figured you two would hit it off .	she 's been bringing up your name a lot .
bugün seni gördüğümde .	laura ile , benimle olduğundan daha mutlu görünüyordun .	when i saw you today .	with laura , you looked happier with her than you 've ever been with me .
martin ' in birini incitebileceğine inanamazsınız .	o , o kadar emin değil zaten .	you can 't believe martin would ever hurt anyone .	oh , she 's not so sure .
onu takip ettin .	cal kıza martin ' in ismini vermesini mi söyledi ?	you stalked her .	did cal coach the girl , get her to name martin ?
şimdi onu ara .	anlamayacaktır , adamım .	call her now .	she is not gonna understand , man .
jennifer , yapma !	theo , sanırım sarsıntı sensörünü aktif hale getirdi .	jennifer , no !	theo , i think she 's activated the vibration sensor .
federaller onu gözden çıkartmışlar .	bobby öğrendiğinde , onu kesinlikle öldürecektir .	the feds are hanging her out to dry .	and when bobby finds out , he 'll kill her for sure .
tanrım , hepsi sadece bir sis perdesi .	rol yapıyor çünkü konuşmak istiyor , ve sen onunla orta yolda buluşmayacaksın .	god , that is all just a smoke screen .	she 's acting out because she wants to have the conversation , and you won 't meet her halfway .
i̇şaret ver ve senin için bir ordu dolusu adam toplayayım .	onu bulana kadar her kapıyı çalarız ve tüm sapıklarla konuşuruz .	give me the nod and i 'll round up an army for you .	we 'll knock on every door and rattle every perv until we find her .
korumaları vardı , bu yüzden kabal ile ilgili konuşamadım .	ona hikayeyi anlattım , fakat bununla ilgilenmedi .	she had guards , so i couldn 't ask her about the cabal .	i gave her the story , but she didn 't believe i was being honest .
birşey söylemedim .	cihazı ayakkabısının altına yerleştirdim .	well , i didn 't say anything .	i put the bug on her shoe .
bana doğru baktı ve .	ne dedi biliyor musunuz ?	she looked up to me .	you know what she said ?
öyle düşünüyoruz .	evet , radley ' de yatan bir hastaymış .	we think so .	yeah , she was a patient at radley .
en başından beri peşimizde olan kişi , mary drake .	birileri kızını öldürdü ve o da intikam almak için geldi .	mary drake , she 's been after us all along .	someone killed her daughter and then she shows up to get even .
kaçtığımda beni takip etmiş olmalı .	ama beni buraya getirmek yerine neden beni ezmedi ki ?	she must have been chasing me when i got out .	but why wouldn 't she just run me over instead of bringing me here ?
bir şey mi oldu ?	sana söyleyebileceğim tek şey , onu ziyaret edebilme izni olan kişiler sadece aile mensupları .	did something happen ?	all i can tell you is the only visitors she 's allowed are family members .
ne zaman ziyaretçi kabul edebilir , peki ?	kabul edebileceğini düşünür düşünmez seni ararım .	so , when can she have visitors ?	as soon as i think she can , i 'll call you .
belki charlotte ' u öldürdü , belki öldürmedi .	onu öylece orada , kimsenin onu korumadığı bir yerde bırakamayız .	maybe she killed charlotte , maybe she didn 't .	we can 't just leave her in there with no one protecting her .
o aileden biri , erişimi var , anlıyor musun ?	onu kullanmayı denesek mi ?	she 's family , she has access , you know ?	should we try and use her ?
jessica bebek bakıcılığı yapıyordu .	bebeğin bir türlü ağlamayı kesmediğinden şikayet etmek için beni aramıştı .	jessica was babysitting .	she called me to complain that the baby wouldn 't stop crying .
annemin dönüşüm ekibinde kalacağım .	belki onunla harrisburg ' a giderim gidebilirsem tabii .	stay with my mom 's transition team .	maybe go with her to harrisburg ... if i can .
hanna nasıl ?	onunla konuşmadım .	how 's hanna ?	i haven 't talked to her .
bu da yaptığı ve bildiği tek şey .	burası hatırladığı tek yer .	well , this is what she knows .	this place , it 's what she remembers .
kahretsin .	ona ne yaptılar peki ?	holy shit .	what the hell did they do to her ?
ned onun sürekli üzgün olduğunu zannetmiyorum	çünkü mutluyu oynamada çok ustadır	ned , i don 't think she 's sad all the time .	that 's because she 's good at putting on a happy face .
peki ya karısı	o sadece parayı istiyor	what about his wife ?	she just wants the money .
neyi biliyor ?	ne yaptığını biliyor olmalı	know what ?	she 's got to know what she did .
onu ağlarken görmemi istemezdi	benim için ne kadar çok savaştığını bildiğimi söyle	she didn 't want me to see her crying .	tell her i know how hard she fought for me .
sevgili eşinin durumu nasıl ?	kan değerleri düşük ve katı besin yiyemiyor .	how is your lovely bride doing ?	well , she has about ten white blood cells and can 't eat solid food , but
evet .	kesinlikle tam bir baş belası .	yeah .	she 's a definite wilter .
hey , ne yapıyorsun ?	onu kobay mı sandınız , sizi sülükler !	hey , what are you doing ?	she 's not a science experiment , leeches !
çünkü onu hep bir dost olarak görmüştüm .	seninle alay etmeyi de severdi nick ' e saplantılı olmanla .	i always thought of her as a friend .	she would make fun of you , too , your little crush on nick .
tamara .	ortalığı karıştırıyor , değil mi ?	tamara .	she 's just messing around , right ?
aman tanrım !	en son ne zaman gördünüz ?	oh , my god !	when was the last time you saw her ?
boyden ' ın dersi .	"geçmek için finalde "" a "" alması gerekiyor ."	"she found out she can 't drop "" western thought . "" boyden 's class ."	"if she wants to pass , she has to get an "" a "" on the final ."
artık çok geç .	o ortapedik ayakkabılarını giymiş .	too late .	she 's got on her orthopedic shoes .
o ortapedik ayakkabılarını giymiş .	o ayakkabılar için bir çita kadar hızlı hareket eder .	she 's got on her orthopedic shoes .	she moves like a cheetah in those things .
kristine fields .	evet , kim olduğunu biliyorum .	kristine fields .	yeah , i know who she is .
üç , iki , bir .	bianca banyo yapmayı sever .	now , you 're gonna feel a pinch in three , two , one .	well , bianca loves her baths .
yararı olmayacaktır .	karaciğerinde büyük bir hemotama var .	it 's not gonna help .	she has a massive hematoma in her liver .
harika birine benziyor .	lisedeki sevgilimdi .	she sounds amazing .	she was my high-school sweetheart .
hope zion ' da bu tür tamponların hiç kullanılmadığını söyledi .	i̇çine nasıl girdi o zaman ?	she said hope zion 's never even used these pledgets before .	so , how did it get inside her ?
dr. bell bu tamponların karayiplerde , kuzey ve orta amerika ' da kullanıldığını söyledi .	benim tahminime göre , yaptığın baypas ameliyatından istediği sonucu alamayınca gidip başka bir ameliyat daha yaptırdı .	south and central america .	my guess , she wasn 't getting the results she wanted with your bypass , so she went ahead and had a second surgery .
telafisi olmayan bir hasar yok .	onun rahatsızlığı komutan chakotay ' ın ki ile tamamen farklı .	no irreparable damage .	in fact , her injuries are quite different from commander chakotay 's .
bir dakika bekle .	binbaşı torres warp çekirdeğini fırlatmak için yetkisi yok .	wait a minute .	lieutenant torres isn 't authorized to eject the warp core on her own .
annemle taşınmak için bana yalakalık yapmak zorunda değilsin .	açıkçası ben onu durdurmuyorum .	you don 't have to suck up to me to move in with my mom .	clearly , i 'm not stopping her .
kızımızın nerede olduğu hakkında bir fikrin yok , ama .	evet , çünkü seninle olması gerekiyordu cate !	you have no idea where our daughter is , but .	yeah , because she was supposed to be with you , cate !
bunun , onu güçsüz hissettirdiğini söylemişti .	artık umursamamaya ve auschwitz ' le ilgili şeyler araştırmak için kütüphaneye gitmeye başladı .	she said it made her feel powerless .	she began to turn a deaf ear , and then she began leaving the house and going to a library to read about auschwitz .
sana olan güvenim tam .	onu tek başına ormana taşıyabilmene şaşırdım doğrusu .	i trust you ... completely .	and i 'm very impressed that you managed to get her out and into the woods all on your own .
lana winters hiçbir yerde bulunamıyor .	araziden çıkış yaptığına eminim , rahibe .	lana winters is nowhere to be found .	i 'm certain she 's off grounds , sister .
uzun zamandır buzluktaydı .	sen kendine gelene kadar , yumuşamış olmasını umuyordum .	she 's been on ice for a while .	i was hoping she 'd be a little more pliable by the time you came to .
louis de değini hatırlıyorum .	hatta bruce da demişti .	louis , she called me that .	oh , and she called me bruce too .
bu daha iyi !	elbisesine bir bakın .	that 's better !	it suits her .
endişe etmeyin .	onunla konuşmaya çalışırım .	don 't worry .	i 'll try talking with her .
annem beni doğurdu .	ve sonra tekrar küçük kardeşim mi-jung ' a hamile kaldı .	mom gave birth to me .	then ... she got pregnant , again ... with my little sister , mi-jung .
sizden jilet ödünç alabilir miyim ?	alexis , bacakları için kullandığıyla tıraş olmama uyuz oluyor .	hey , uh , do you mind if i borrow a razor ?	alexis gets all fired up when i shave with the one she uses for her legs .
neden sordun ?	çünkü polislere karşı derin bir güvensizliği var !	why ?	because she seems to have a deep mistrust of the police .
kim tuzak kurmuş ?	emma ' nın st. helena yetimhanesi ' ndeki kayıtlarını biliyor musunuz ?	who 's framing her ?	did you know that angelo stole her adoption records from st. helena 's home for children ?
giysisiz özgür olmak , giysili özgür olmamaktan iyidir .	keşke uçakla bir yere gitse .	freedom and no clothes is a lot better than no freedom with clothes .	if she would just take a plane somewhere .
çünkü adını bilemedin .	ama adı lilly olan birine benziyor .	because you called her by the wrong name .	but she really looks like a lilly .
susan ' ı hastaneye kaldırmışlar .	yani öylece yatıyordu .	they took susan to the hospital .	so she was just lying there ?
i̇yi ki em ' in ormana koştuğunu görmüşüm .	az daha onu kaybediyordum .	i 'm just glad i saw em run into the woods .	i almost lost her .
en azından , karım böyle söylüyor .	muhtemelen haklı .	at least , that 's what my wife told me .	she 's probably right .
şimdi burada ol .	olive benden günlüğünü okumamanı istememi rica etti .	be here now .	olive wanted me to ask you not to read her diary .
olive benden günlüğünü okumamanı istememi rica etti .	yanlışlıkla yastığının altında bırakmış .	olive wanted me to ask you not to read her diary .	she left it under her pillow by mistake .
neyse .	yani , nerede olduğunu bilmiyorum .	anyway .	i mean , i don 't know where she is .
sahneden inebilir misin ?	ne yapıyor ?	would you leave the stage ?	what is she doing ?
hayır .	nerede bu kız ?	no .	where is she ?
anlamıyorum !	küçük ve kısa boylu bir kız .	i don 't understand !	she 's small and short .
küçük ve kısa boylu bir kız .	şimdi bu tarafa kaçtı .	she 's small and short .	she just ran this way .
i̇yi efendim .	çok yaramazlık yapıyorsa , katen buraya geri gelebilir .	she 's fine sir .	if it 's too much trouble for her , katen can come back to live here .
onu çok seviyor .	onun gibi bir öksüz , böyle bir anneye ve bir aileye sahip olduğu için çok şanslı .	she loves her very much .	it 's fortunate for an orphan like her , to have a mother , a family .
senin yüzünden .	bir de pes etmesini mi istiyorsun ?	because of you .	and you want her to give up ?
bana yardımcı ol .	yüzünü unutma .	you help me out .	remember her face .
fiona doğum günlerini çok ciddiye alır .	bazen ona önceki gece uyku ilacı vermek zorunda kalıyorum , uyuyabilmesi için .	fiona takes her birthdays very seriously .	i sometimes have to drug her the night before just to get her to sleep .
ben olsam onu yemeden önce bir daha düşünürdüm .	d.b. buraların kraliçesi olduğunu sanıyor .	you know , i 'd think twice before eating that .	d.b. thinks she 's , uh , queen of the cellblock .
ufak hediyesini yemezsen yüzüne tükürmüş olursun .	düşmanın olur .	and if , uh , you don 't eat her little gift , you 're spitting in her face .	she 's your enemy .
gerçekleşmesine mani olmalıyız .	dediklerine göre d.b. ile çetesi , çamaşırhanede üstüne çullanacakmış .	we 'll have to make sure that doesn 't happen .	apparently , d.b. and her crew are gonna jump you in the laundry room .
zeki ve kararlı .	onu ölümsüz yapmayacaksın değil mi ?	worse , she 's smart and certifiable .	you 're not actually going to make her immortal ?
sicim teori ' si ile başlıyor .	sonra joe polchinski ' nin sicimler dev üç boyutlu zarlara sıkıştırılmış tüm şeylerdir düşüncesini ekliyor .	she began with string theory , the idea that all the fundamental particles are just vibrations of tiny nine-dimensional strings .	then she added in joe polchinski 's ideas that strings making up all the stuff in our universe had to be stuck to a giant three-dimensional object called a brane .
onu çok merak ediyorum .	başına her iş gelmiş olabilir .	i 'm so worried about her .	you know anything could have happened to her .
otelde , kız kardeşini arayan bir bayan kalıyor .	belli ki kız kaybolmuş .	there 's a girl staying here at the hotel looking for her sister .	apparently she 's gone missing .
onunla konuştum .	onun pezevengine karşı tanıklık yapmasını istiyoruz .	i talked to her .	we need her to testify against her pimp .
sen ve laurie ann neler konuşuyordunuz ?	mutlu görünmüyordu .	what were you and laurie ann talking about ?	she didn 't seem happy .
o -	i̇ki kez evlenmiş !	she 's had .	she 's been married twice !
